name,domain,address,type,id.jisc,id.ukprn,id.isni,id.ringgold,id.gokb,id.ncsu-olnd-uri,id.viaf,id.freebase-uri,id.lccn,id.dbpedia-uri,id.dnb-uri,id.juliet,id.doi,funder_group,membership_org
Allan Mann Publications,,,Publisher,,,,,553,http://www.lib.ncsu.edu/ld/onld/00000404,,,,,,,,,false
Industrial Research Institute,,,Publisher,,,0000000100155684,,5530,http://www.lib.ncsu.edu/ld/onld/00001954,159485747,http://rdf.freebase.com/ns/m/0j3gh37,n83163571,http://dbpedia.org/resource/Industrial_Research_Institute,,,,,false
Infobase Publishing,,,Publisher,,,0000000122265358,,5537,http://www.lib.ncsu.edu/ld/onld/00000868,148443438,http://rdf.freebase.com/ns/m/04_07kv,n82061415,http://dbpedia.org/resource/Infobase_Publishing,,,,,false
Informa,,,Publisher,,,,,5544,http://www.lib.ncsu.edu/ld/onld/00000896,136471070,http://rdf.freebase.com/ns/m/0gy3q4,nr00013120,http://dbpedia.org/resource/Informa,,,,,false
Allen Press,,,Publisher,,,,,555,http://www.lib.ncsu.edu/ld/onld/00000021,134238711,http://rdf.freebase.com/ns/m/03mj0gs,n81056152,http://dbpedia.org/resource/Allen_Press,,,,,false
Informa Healthcare,,,Publisher,,,0000000122670687,,5550,http://www.lib.ncsu.edu/ld/onld/00001164,132427488,,nb2006025818,,,,,,false
Information Today,,,Publisher,,,0000000121682627,,5555,http://www.lib.ncsu.edu/ld/onld/00001752,263871575,http://rdf.freebase.com/ns/m/05w03n,no00095260,"http://dbpedia.org/resource/Information_Today,_Inc.",,,,,false
InfoUSA,,,Publisher,,,,,5562,http://www.lib.ncsu.edu/ld/onld/00001764,135176840,http://rdf.freebase.com/ns/m/09mcvl_,no97021489,,,,,,false
Ingenta,,,Publisher,,,,,5567,http://www.lib.ncsu.edu/ld/onld/00000018,148022326,http://rdf.freebase.com/ns/m/0fffws,no00087465,http://dbpedia.org/resource/Ingenta,,,,,false
Insight Media,,,Publisher,,,,,5573,http://www.lib.ncsu.edu/ld/onld/00000869,264496291,http://rdf.freebase.com/ns/m/0_cyss1,no94034150,,,,,,false
Insight Publications,,,Publisher,,,,,5578,http://www.lib.ncsu.edu/ld/onld/00000786,152618689,,n97091204,,,,,,false
Institut für Textiltechnik,,,Publisher,,,,,5582,http://www.lib.ncsu.edu/ld/onld/00001597,138421152,,n84029561,,,,,,false
Institute for Addiction Study,,,Publisher,,,,,5586,http://www.lib.ncsu.edu/ld/onld/00001213,305458382,,no2013133945,,,,,,false
Institute for Alternative Agriculture,,,Publisher,,,,,5590,http://www.lib.ncsu.edu/ld/onld/00002174,168420686,,n84082663,,,,,,false
Institute for Chemical Research,,,Publisher,,,,,5594,http://www.lib.ncsu.edu/ld/onld/00001623,135159390,,no93029265,,,,,,false
